January, 2024, 100000
February, 2024, 200000
March, 2024, 300000
April, 2024, 150000
May, 2024, 312651
June, 2024, 264231
July, 2024, 551353
August, 2024, 513612
September, 2024, 123546
October, 2024, 513451
November, 2024, 458423
December, 2024, 215151
January, 2025, 156632
February, 2025, 362131
March, 2025, 231563
April, 2025, 546312
May, 2025, 314613
June, 2025, 313141
July, 2025, 321563
August, 2025, 321351
September, 2025, 311513
October, 2025, 464235
November, 2025, 123546
December, 2025, 321353
